frame_id,stone_id,team,x_px,y_px
845,728,red,975,160
846,729,red,995,162
846,730,red,14,173
846,731,red,61,180
846,732,red,41,178
846,733,red,951,158
846,734,red,48,179
846,735,red,914,156
846,736,red,975,159
846,737,red,1018,165
847,738,red,995,162
847,739,red,61,180
847,740,red,41,178
847,741,red,15,173
847,742,red,951,158
847,743,red,49,179
847,744,red,914,156
847,745,red,9,174
847,746,red,975,159
847,747,red,1019,165
848,748,red,995,162
848,749,red,61,180
848,750,red,41,178
848,751,red,14,173
848,752,red,49,179
848,753,red,951,158
848,754,red,914,156
848,755,red,9,174
848,756,red,1019,165
848,757,red,975,159
849,758,red,995,162
849,759,red,61,180
849,760,red,41,178
849,761,red,14,173
849,762,red,951,158
849,763,red,48,179
849,764,red,914,156
849,765,red,9,174
849,766,red,1019,165
849,767,red,975,159
849,768,red,938,157
850,769,red,995,162
850,770,red,61,180
850,771,red,41,178
850,772,red,14,173
850,773,red,951,158
850,774,red,48,179
850,775,red,914,156
850,776,red,10,174
850,777,red,1019,165
850,778,red,975,159
850,779,red,939,157
851,780,red,15,174
851,781,red,41,178
851,782,red,995,162
851,783,red,61,180
851,784,red,48,179
851,785,red,951,158
851,786,red,914,156
851,787,red,975,160
851,788,red,1019,165
852,789,red,40,178
852,790,red,15,174
852,791,red,995,163
852,792,red,61,180
852,793,red,48,179
852,794,red,951,158
852,795,red,11,175
852,796,red,914,156
852,797,red,975,161
852,798,red,1018,166
853,799,red,40,178
853,800,red,14,174
853,801,red,61,180
853,802,red,995,163
853,803,red,47,179
853,804,red,951,158
853,805,red,975,161
853,806,red,1018,166
853,807,red,914,156
854,808,red,15,174
854,809,red,61,180
854,810,red,995,163
854,811,red,40,178
854,812,red,951,158
854,813,red,48,179
854,814,red,975,161
854,815,red,914,156
854,816,red,1018,166
855,817,red,62,180
855,818,red,14,174
855,819,red,40,178
855,820,red,995,163
855,821,red,951,158
855,822,red,46,179
855,823,red,914,157
855,824,red,1018,166
855,825,red,975,161
856,826,red,14,175
856,827,red,61,180
856,828,red,40,179
856,829,red,995,163
856,830,red,951,158
856,831,red,914,157
856,832,red,975,161
856,833,red,1018,166
857,834,red,15,175
857,835,red,61,180
857,836,red,40,179
857,837,red,995,163
857,838,red,951,159
857,839,red,46,179
857,840,red,975,161
857,841,red,915,157
857,842,red,1017,166
858,843,red,48,179
858,844,red,15,174
858,845,red,996,163
858,846,red,952,159
858,847,red,976,161
858,848,red,915,157
859,849,red,46,179
859,850,red,15,175
859,851,red,996,163
859,852,red,952,159
859,853,red,976,161
859,854,red,916,157
860,855,red,39,181
860,856,red,15,175
860,857,red,996,164
860,858,red,952,159
860,859,red,975,162
860,860,red,916,157
861,861,red,35,181
861,862,red,995,164
861,863,red,14,176
861,864,red,950,159
861,865,red,915,157
861,866,red,942,158
862,867,red,542,399
863,868,red,542,400
864,869,red,541,398
865,870,red,539,397
866,871,red,545,393
867,872,red,544,386
868,873,red,545,378
869,874,red,545,371
870,875,red,544,365
871,876,red,545,361
872,877,red,545,349
873,878,red,546,343
874,879,red,549,337
875,880,red,549,329
876,881,red,550,322
877,882,red,552,314
878,883,red,553,306
879,884,red,553,306
880,885,red,553,295
880,886,red,535,298
881,887,red,555,289
881,888,red,542,291
882,889,red,553,283
882,890,red,539,284
883,891,red,551,277
883,892,red,543,278
884,893,red,542,271
884,894,red,553,269
885,895,red,550,268
885,896,red,542,269
886,897,red,551,266
886,898,red,544,266
887,899,red,556,264
888,900,red,557,262
888,901,red,547,263
889,902,red,557,262
889,903,red,543,263
890,904,red,558,261
890,905,red,547,261
891,906,red,559,260
